Year of death,Month of death,Month of death,Day,Gender Code,Gender,Age range code,Age range,Origin Code,Origin,District Code,District,Quarter Code,Quarter,Date Status Code,Date Status,Number of deaths
1998,1,Januar,31/01/1998,1,Male,2,20-39,1,Swiss,2,Kreis 2,23,Leimbach,V,Published,1
1998,1,Januar,31/01/1998,1,Male,2,20-39,1,Swiss,2,Kreis 2,24,Enge,V,Published,1
1998,1,Januar,31/01/1998,1,Male,2,20-39,1,Swiss,4,Kreis 4,42,Langstrasse,V,Published,1
1998,1,Januar,31/01/1998,1,Male,2,20-39,1,Swiss,5,Kreis 5,51,Gewerbeschule,V,Published,2
1998,1,Januar,31/01/1998,1,Male,2,20-39,1,Swiss,9,Kreis 9,91,Albisrieden,V,Published,1
1998,1,Januar,31/01/1998,1,Male,2,20-39,1,Swiss,11,Kreis 11,111,Affoltern,V,Published,1
1998,1,Januar,31/01/1998,1,Male,2,20-39,2,Foreign,4,Kreis 4,41,Werd,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,3,Kreis 3,34,Sihlfeld,V,Published,2
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,4,Kreis 4,42,Langstrasse,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,4,Kreis 4,44,Hard,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,5,Kreis 5,51,Gewerbeschule,V,Published,2
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,6,Kreis 6,61,Unterstrass,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,6,Kreis 6,63,Oberstrass,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,7,Kreis 7,73,Hirslanden,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,8,Kreis 8,82,Mühlebach,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,9,Kreis 9,91,Albisrieden,V,Published,2
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,10,Kreis 10,102,Wipkingen,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,11,Kreis 11,111,Affoltern,V,Published,4
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,11,Kreis 11,115,Oerlikon,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,11,Kreis 11,119,Seebach,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,1,Swiss,12,Kreis 12,123,Hirzenbach,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,2,Foreign,2,Kreis 2,21,Wollishofen,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,2,Foreign,4,Kreis 4,44,Hard,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,2,Foreign,6,Kreis 6,61,Unterstrass,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,2,Foreign,7,Kreis 7,73,Hirslanden,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,2,Foreign,9,Kreis 9,91,Albisrieden,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,2,Foreign,9,Kreis 9,92,Altstetten,V,Published,1
1998,1,Januar,31/01/1998,1,Male,3,40-59,2,Foreign,11,Kreis 11,115,Oerlikon,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,2,Kreis 2,23,Leimbach,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,2,Kreis 2,24,Enge,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,3,Kreis 3,31,Alt-Wiedikon,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,3,Kreis 3,33,Friesenberg,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,3,Kreis 3,34,Sihlfeld,V,Published,2
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,4,Kreis 4,41,Werd,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,4,Kreis 4,42,Langstrasse,V,Published,2
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,4,Kreis 4,44,Hard,V,Published,3
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,6,Kreis 6,61,Unterstrass,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,6,Kreis 6,63,Oberstrass,V,Published,2
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,7,Kreis 7,72,Hottingen,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,7,Kreis 7,73,Hirslanden,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,7,Kreis 7,74,Witikon,V,Published,2
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,8,Kreis 8,83,Weinegg,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,9,Kreis 9,91,Albisrieden,V,Published,8
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,9,Kreis 9,92,Altstetten,V,Published,4
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,10,Kreis 10,101,Höngg,V,Published,5
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,10,Kreis 10,102,Wipkingen,V,Published,3
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,11,Kreis 11,111,Affoltern,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,11,Kreis 11,119,Seebach,V,Published,2
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,12,Kreis 12,121,Saatlen,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,12,Kreis 12,122,Schwamendingen-Mitte,V,Published,3
1998,1,Januar,31/01/1998,1,Male,4,60-79,1,Swiss,12,Kreis 12,123,Hirzenbach,V,Published,3
1998,1,Januar,31/01/1998,1,Male,4,60-79,2,Foreign,2,Kreis 2,21,Wollishofen,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,2,Foreign,3,Kreis 3,31,Alt-Wiedikon,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,2,Foreign,6,Kreis 6,61,Unterstrass,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,2,Foreign,6,Kreis 6,63,Oberstrass,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,2,Foreign,9,Kreis 9,92,Altstetten,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,2,Foreign,11,Kreis 11,111,Affoltern,V,Published,1
1998,1,Januar,31/01/1998,1,Male,4,60-79,2,Foreign,11,Kreis 11,115,Oerlikon,V,Published,3
1998,1,Januar,31/01/1998,1,Male,4,60-79,2,Foreign,12,Kreis 12,123,Hirzenbach,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,2,Kreis 2,21,Wollishofen,V,Published,8
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,2,Kreis 2,23,Leimbach,V,Published,2
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,2,Kreis 2,24,Enge,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,3,Kreis 3,34,Sihlfeld,V,Published,3
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,5,Kreis 5,52,Escher Wyss,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,6,Kreis 6,61,Unterstrass,V,Published,4
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,6,Kreis 6,63,Oberstrass,V,Published,2
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,7,Kreis 7,71,Fluntern,V,Published,3
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,7,Kreis 7,72,Hottingen,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,7,Kreis 7,73,Hirslanden,V,Published,4
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,7,Kreis 7,74,Witikon,V,Published,4
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,8,Kreis 8,81,Seefeld,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,8,Kreis 8,82,Mühlebach,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,8,Kreis 8,83,Weinegg,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,9,Kreis 9,91,Albisrieden,V,Published,3
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,9,Kreis 9,92,Altstetten,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,10,Kreis 10,101,Höngg,V,Published,3
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,10,Kreis 10,102,Wipkingen,V,Published,5
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,11,Kreis 11,111,Affoltern,V,Published,2
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,11,Kreis 11,115,Oerlikon,V,Published,3
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,11,Kreis 11,119,Seebach,V,Published,4
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,12,Kreis 12,121,Saatlen,V,Published,2
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,12,Kreis 12,122,Schwamendingen-Mitte,V,Published,2
1998,1,Januar,31/01/1998,1,Male,5,80-99,1,Swiss,12,Kreis 12,123,Hirzenbach,V,Published,4
1998,1,Januar,31/01/1998,1,Male,5,80-99,2,Foreign,4,Kreis 4,42,Langstrasse,V,Published,1
1998,1,Januar,31/01/1998,1,Male,5,80-99,2,Foreign,8,Kreis 8,82,Mühlebach,V,Published,1
1998,1,Januar,31/01/1998,1,Male,6,100 u. älter,1,Swiss,3,Kreis 3,33,Friesenberg,V,Published,1
1998,1,Januar,31/01/1998,2,Female,2,20-39,1,Swiss,2,Kreis 2,21,Wollishofen,V,Published,2
1998,1,Januar,31/01/1998,2,Female,2,20-39,1,Swiss,6,Kreis 6,61,Unterstrass,V,Published,1
1998,1,Januar,31/01/1998,2,Female,2,20-39,1,Swiss,11,Kreis 11,111,Affoltern,V,Published,2
1998,1,Januar,31/01/1998,2,Female,2,20-39,2,Foreign,9,Kreis 9,92,Altstetten,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,1,Swiss,5,Kreis 5,52,Escher Wyss,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,1,Swiss,7,Kreis 7,71,Fluntern,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,1,Swiss,7,Kreis 7,74,Witikon,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,1,Swiss,8,Kreis 8,82,Mühlebach,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,1,Swiss,10,Kreis 10,102,Wipkingen,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,1,Swiss,12,Kreis 12,122,Schwamendingen-Mitte,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,2,Foreign,3,Kreis 3,34,Sihlfeld,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,2,Foreign,6,Kreis 6,63,Oberstrass,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,2,Foreign,7,Kreis 7,73,Hirslanden,V,Published,1
1998,1,Januar,31/01/1998,2,Female,3,40-59,2,Foreign,10,Kreis 10,102,Wipkingen,V,Published,1
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,2,Kreis 2,21,Wollishofen,V,Published,6
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,2,Kreis 2,23,Leimbach,V,Published,1
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,2,Kreis 2,24,Enge,V,Published,1
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,3,Kreis 3,31,Alt-Wiedikon,V,Published,2
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,3,Kreis 3,33,Friesenberg,V,Published,2
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,3,Kreis 3,34,Sihlfeld,V,Published,2
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,4,Kreis 4,42,Langstrasse,V,Published,1
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,4,Kreis 4,44,Hard,V,Published,1
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,5,Kreis 5,51,Gewerbeschule,V,Published,2
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,6,Kreis 6,61,Unterstrass,V,Published,5
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,7,Kreis 7,71,Fluntern,V,Published,1
1998,1,Januar,31/01/1998,2,Female,4,60-79,1,Swiss,7,Kreis 7,72,Hottingen,V,Published,1
